"model","R2","AIC","p","slope","intercept"
"totalmod_sqrt ~ richness_sqrt",0.399375525648737,98.6790669588889,0.0153243257327362,4.18999036480627,-35.2581758995811
"totalmod_sqrt ~ npaleo_sqrt",0.355871833606399,99.6580564093184,0.0243275493250578,9.10313265048558,-14.9920225313033
"totalmod_sqrt ~ npaleo_sqrt + richness_sqrt",0.431058116294173,99.9203843734694,0.023698644847863,4.18945865429024,-31.5530410779274
"nsites_sqrt ~ richness_sqrt",0.359112510197176,29.7114213910566,0.0235242594868573,0.327585243255436,-1.83565841663513
"nsites_sqrt ~ npaleo_sqrt",0.162776950106894,33.452733843267,0.152568861406407,0.507606621454915,0.268035641212512
"nsites_sqrt ~ npaleo_sqrt + richness_sqrt",0.365743891964415,31.5658061335051,0.121062319089405,-0.15802883662378,-1.97541827434385
"nlevels_sqrt ~ richness_sqrt",0.439014644273396,35.9695926491344,0.00981729021311208,0.484095643246799,-3.19317804087695
"nlevels_sqrt ~ npaleo_sqrt",0.269744285681064,39.6613921603063,0.0569982542694657,0.873352483698781,-0.397886966648906
"nlevels_sqrt ~ npaleo_sqrt + richness_sqrt",0.439543284152597,37.9563936457359,0.0419639843212409,0.059634405823927,-3.14043769139037
